row_type,condition,rep,n,verified_solve_rate,solve_rate_stdev,solve_rate_min,solve_rate_max,false_completion_rate,false_completion_stdev
replication,agent_a,rep_01,10,0.7,,,,0.1,
replication,agent_a,rep_02,10,0.1,,,,0.0,
replication,agent_a,rep_03,10,0.2,,,,0.0,
replication,agent_a,rep_04,10,0.3,,,,0.0,
replication,agent_a,rep_05,10,0.4,,,,0.0,
summary,agent_a,mean,50,0.33999999999999997,0.23021728866442676,0.1,0.7,0.02,0.044721359549995794
replication,agent_b,rep_01,10,0.2,,,,0.0,
replication,agent_b,rep_02,10,0.1,,,,0.0,
replication,agent_b,rep_03,10,0.7,,,,0.0,
replication,agent_b,rep_04,10,0.4,,,,0.0,
replication,agent_b,rep_05,10,0.4,,,,0.2,
summary,agent_b,mean,50,0.36,0.23021728866442676,0.1,0.7,0.04,0.08944271909999159
replication,agent_c,rep_01,10,0.8,,,,0.0,
replication,agent_c,rep_02,10,0.8,,,,0.1,
replication,agent_c,rep_03,10,0.8,,,,0.0,
replication,agent_c,rep_04,10,0.6,,,,0.0,
replication,agent_c,rep_05,10,0.5,,,,0.1,
summary,agent_c,mean,50,0.7000000000000001,0.14142135623730953,0.5,0.8,0.04,0.05477225575051661
